tensor(-64.1304, dtype=torch.float64)
tensor(-64.3243, dtype=torch.float64)
tensor(-64.4493, dtype=torch.float64)
tensor(-64.5095, dtype=torch.float64)
tensor(-64.7261, dtype=torch.float64)
tensor(-64.8649, dtype=torch.float64)
tensor(-64.9640, dtype=torch.float64)
tensor(-65.0855, dtype=torch.float64)
tensor(-65.2808, dtype=torch.float64)
tensor(-65.4458, dtype=torch.float64)
tensor(-65.5492, dtype=torch.float64)
tensor(-65.7194, dtype=torch.float64)
tensor(-65.7634, dtype=torch.float64)
tensor(-65.9709, dtype=torch.float64)
tensor(-66.0644, dtype=torch.float64)
tensor(-66.1359, dtype=torch.float64)
tensor(-66.3448, dtype=torch.float64)
tensor(-66.4103, dtype=torch.float64)
tensor(-66.5794, dtype=torch.float64)
tensor(-66.6882, dtype=torch.float64)
tensor(-66.8109, dtype=torch.float64)
tensor(-66.8609, dtype=torch.float64)
tensor(-67.0746, dtype=torch.float64)
tensor(-67.2014, dtype=torch.float64)
tensor(-67.3345, dtype=torch.float64)
tensor(-67.3887, dtype=torch.float64)
tensor(-67.5594, dtype=torch.float64)
tensor(-67.6518, dtype=torch.float64)
tensor(-67.7797, dtype=torch.float64)
tensor(-67.9827, dtype=torch.float64)
tensor(-68.0401, dtype=torch.float64)
tensor(-68.1701, dtype=torch.float64)
tensor(-68.3498, dtype=torch.float64)
tensor(-68.5139, dtype=torch.float64)
tensor(-68.6285, dtype=torch.float64)
tensor(-68.7168, dtype=torch.float64)
tensor(-68.8387, dtype=torch.float64)
tensor(-68.9550, dtype=torch.float64)
tensor(-68.9970, dtype=torch.float64)
tensor(-69.1915, dtype=torch.float64)
tensor(-69.2097, dtype=torch.float64)
tensor(-69.3810, dtype=torch.float64)
tensor(-69.5172, dtype=torch.float64)
tensor(-69.6806, dtype=torch.float64)
tensor(-69.7687, dtype=torch.float64)
tensor(-69.9308, dtype=torch.float64)
tensor(-70.1080, dtype=torch.float64)
tensor(-70.2098, dtype=torch.float64)
tensor(-70.2731, dtype=torch.float64)
tensor(-70.4860, dtype=torch.float64)
tensor(-70.6684, dtype=torch.float64)
tensor(-70.7247, dtype=torch.float64)
tensor(-70.9762, dtype=torch.float64)
tensor(-71.0917, dtype=torch.float64)
tensor(-71.1491, dtype=torch.float64)
tensor(-71.3396, dtype=torch.float64)
tensor(-71.4531, dtype=torch.float64)
tensor(-71.4999, dtype=torch.float64)
tensor(-71.7324, dtype=torch.float64)
tensor(-71.8387, dtype=torch.float64)
tensor(-71.9737, dtype=torch.float64)
tensor(-72.0854, dtype=torch.float64)
tensor(-72.2121, dtype=torch.float64)
tensor(-72.3226, dtype=torch.float64)
tensor(-72.4306, dtype=torch.float64)
tensor(-72.4972, dtype=torch.float64)
tensor(-72.6375, dtype=torch.float64)
tensor(-72.7930, dtype=torch.float64)
tensor(-72.8802, dtype=torch.float64)
tensor(-73.0558, dtype=torch.float64)
tensor(-73.2239, dtype=torch.float64)
tensor(-73.3823, dtype=torch.float64)
tensor(-73.5206, dtype=torch.float64)
tensor(-73.5619, dtype=torch.float64)
tensor(-73.7099, dtype=torch.float64)
tensor(-73.8559, dtype=torch.float64)
tensor(-73.9799, dtype=torch.float64)
tensor(-74.1223, dtype=torch.float64)
tensor(-74.1912, dtype=torch.float64)
tensor(-74.2420, dtype=torch.float64)
tensor(-74.4377, dtype=torch.float64)
tensor(-74.5866, dtype=torch.float64)
tensor(-74.7203, dtype=torch.float64)
tensor(-74.7537, dtype=torch.float64)
tensor(-75.0735, dtype=torch.float64)
tensor(-75.1179, dtype=torch.float64)
tensor(-75.2236, dtype=torch.float64)
tensor(-75.4214, dtype=torch.float64)
tensor(-75.5893, dtype=torch.float64)
tensor(-75.6187, dtype=torch.float64)
tensor(-75.8971, dtype=torch.float64)
tensor(-75.9608, dtype=torch.float64)
tensor(-76.0755, dtype=torch.float64)
tensor(-76.2112, dtype=torch.float64)
tensor(-76.3539, dtype=torch.float64)
tensor(-76.4539, dtype=torch.float64)
tensor(-76.4835, dtype=torch.float64)
tensor(-76.6779, dtype=torch.float64)
tensor(-76.7753, dtype=torch.float64)
tensor(-76.8865, dtype=torch.float64)
tensor(-77.0158, dtype=torch.float64)
tensor(-77.2012, dtype=torch.float64)
tensor(-77.3363, dtype=torch.float64)
tensor(-77.4661, dtype=torch.float64)
tensor(-77.5724, dtype=torch.float64)
tensor(-77.6890, dtype=torch.float64)
tensor(-77.8558, dtype=torch.float64)
tensor(-78.0064, dtype=torch.float64)
tensor(-78.1354, dtype=torch.float64)
tensor(-78.1660, dtype=torch.float64)
tensor(-78.3281, dtype=torch.float64)
tensor(-78.4873, dtype=torch.float64)
tensor(-78.6832, dtype=torch.float64)
tensor(-78.7686, dtype=torch.float64)
tensor(-78.8511, dtype=torch.float64)
tensor(-79.0164, dtype=torch.float64)
tensor(-79.1982, dtype=torch.float64)
tensor(-79.3775, dtype=torch.float64)
tensor(-79.5188, dtype=torch.float64)
tensor(-79.5325, dtype=torch.float64)
tensor(-79.7977, dtype=torch.float64)
tensor(-79.9092, dtype=torch.float64)
tensor(-80.0571, dtype=torch.float64)
tensor(-80.1114, dtype=torch.float64)
tensor(-80.2685, dtype=torch.float64)
tensor(-80.4112, dtype=torch.float64)
tensor(-80.5880, dtype=torch.float64)
tensor(-80.6540, dtype=torch.float64)
tensor(-80.8211, dtype=torch.float64)
tensor(-80.9431, dtype=torch.float64)
tensor(-81.0400, dtype=torch.float64)
tensor(-81.2061, dtype=torch.float64)
tensor(-81.3025, dtype=torch.float64)
tensor(-81.3629, dtype=torch.float64)
tensor(-81.4615, dtype=torch.float64)
tensor(-81.5140, dtype=torch.float64)
tensor(-81.7571, dtype=torch.float64)
tensor(-81.7986, dtype=torch.float64)
tensor(-81.9839, dtype=torch.float64)
tensor(-82.0924, dtype=torch.float64)
tensor(-82.2864, dtype=torch.float64)
tensor(-82.4414, dtype=torch.float64)
tensor(-82.5749, dtype=torch.float64)
tensor(-82.7116, dtype=torch.float64)
tensor(-82.7872, dtype=torch.float64)
tensor(-82.8478, dtype=torch.float64)
tensor(-83.1040, dtype=torch.float64)
tensor(-83.2405, dtype=torch.float64)
tensor(-83.3095, dtype=torch.float64)
tensor(-83.5034, dtype=torch.float64)
tensor(-83.6112, dtype=torch.float64)
tensor(-83.7509, dtype=torch.float64)
tensor(-83.7979, dtype=torch.float64)
tensor(-84.0045, dtype=torch.float64)
tensor(-84.1190, dtype=torch.float64)
tensor(-84.2102, dtype=torch.float64)
tensor(-84.3558, dtype=torch.float64)
tensor(-84.5404, dtype=torch.float64)
tensor(-84.5860, dtype=torch.float64)
tensor(-84.7694, dtype=torch.float64)
tensor(-84.8601, dtype=torch.float64)
tensor(-85.0350, dtype=torch.float64)
tensor(-85.1591, dtype=torch.float64)
tensor(-85.2357, dtype=torch.float64)
tensor(-85.3820, dtype=torch.float64)
tensor(-85.4985, dtype=torch.float64)
tensor(-85.5413, dtype=torch.float64)
tensor(-85.7794, dtype=torch.float64)
tensor(-85.8971, dtype=torch.float64)
tensor(-85.9920, dtype=torch.float64)
tensor(-86.1065, dtype=torch.float64)
tensor(-86.1805, dtype=torch.float64)
tensor(-86.4180, dtype=torch.float64)
tensor(-86.5285, dtype=torch.float64)
tensor(-86.6453, dtype=torch.float64)
tensor(-86.7973, dtype=torch.float64)
tensor(-86.8650, dtype=torch.float64)
tensor(-87.0250, dtype=torch.float64)
tensor(-87.1498, dtype=torch.float64)
tensor(-87.2620, dtype=torch.float64)
tensor(-87.4468, dtype=torch.float64)
tensor(-87.4754, dtype=torch.float64)
tensor(-87.6179, dtype=torch.float64)
tensor(-87.7663, dtype=torch.float64)
tensor(-87.9378, dtype=torch.float64)
tensor(-88.0101, dtype=torch.float64)
tensor(-88.2152, dtype=torch.float64)
tensor(-88.3503, dtype=torch.float64)
tensor(-88.4733, dtype=torch.float64)
tensor(-88.6218, dtype=torch.float64)
tensor(-88.7363, dtype=torch.float64)
tensor(-88.8670, dtype=torch.float64)
tensor(-89.0271, dtype=torch.float64)
tensor(-89.1268, dtype=torch.float64)
tensor(-89.2098, dtype=torch.float64)
tensor(-89.3550, dtype=torch.float64)
tensor(-89.4421, dtype=torch.float64)
tensor(-89.4495, dtype=torch.float64)
tensor(-89.7043, dtype=torch.float64)
tensor(-89.7893, dtype=torch.float64)
tensor(-89.9515, dtype=torch.float64)
tensor(-90.0636, dtype=torch.float64)
tensor(-90.1723, dtype=torch.float64)
tensor(-90.3731, dtype=torch.float64)
tensor(-90.4952, dtype=torch.float64)
tensor(-90.5677, dtype=torch.float64)
tensor(-90.7539, dtype=torch.float64)
tensor(-90.8889, dtype=torch.float64)
tensor(-90.9619, dtype=torch.float64)
tensor(-91.0876, dtype=torch.float64)
tensor(-91.1818, dtype=torch.float64)
tensor(-91.2697, dtype=torch.float64)
tensor(-91.4389, dtype=torch.float64)
tensor(-91.5778, dtype=torch.float64)
tensor(-91.6083, dtype=torch.float64)
tensor(-91.8482, dtype=torch.float64)
tensor(-91.9069, dtype=torch.float64)
tensor(-92.0196, dtype=torch.float64)
tensor(-92.1083, dtype=torch.float64)
tensor(-92.2748, dtype=torch.float64)
tensor(-92.3841, dtype=torch.float64)
tensor(-92.5052, dtype=torch.float64)
tensor(-92.5456, dtype=torch.float64)
tensor(-92.6427, dtype=torch.float64)
tensor(-92.9776, dtype=torch.float64)
tensor(-93.0816, dtype=torch.float64)
tensor(-93.1961, dtype=torch.float64)
tensor(-93.3222, dtype=torch.float64)
tensor(-93.4308, dtype=torch.float64)
tensor(-93.6266, dtype=torch.float64)
tensor(-93.7699, dtype=torch.float64)
tensor(-93.8622, dtype=torch.float64)
tensor(-93.9623, dtype=torch.float64)
tensor(-94.1212, dtype=torch.float64)
tensor(-94.2168, dtype=torch.float64)
tensor(-94.3377, dtype=torch.float64)
tensor(-94.4467, dtype=torch.float64)
tensor(-94.5959, dtype=torch.float64)
tensor(-94.6867, dtype=torch.float64)
tensor(-94.7903, dtype=torch.float64)
tensor(-94.9242, dtype=torch.float64)
tensor(-95.0922, dtype=torch.float64)
tensor(-95.1933, dtype=torch.float64)
tensor(-95.3091, dtype=torch.float64)
tensor(-95.3427, dtype=torch.float64)
tensor(-95.4033, dtype=torch.float64)
tensor(-95.6683, dtype=torch.float64)
tensor(-95.6745, dtype=torch.float64)
tensor(-95.9677, dtype=torch.float64)
tensor(-96.1351, dtype=torch.float64)
tensor(-96.2575, dtype=torch.float64)
tensor(-96.3861, dtype=torch.float64)
tensor(-96.4600, dtype=torch.float64)
tensor(-96.5623, dtype=torch.float64)
tensor(-96.7339, dtype=torch.float64)
tensor(-96.8461, dtype=torch.float64)
tensor(-96.9793, dtype=torch.float64)
tensor(-97.0868, dtype=torch.float64)
tensor(-97.2239, dtype=torch.float64)
tensor(-97.3590, dtype=torch.float64)
tensor(-97.4486, dtype=torch.float64)
tensor(-97.5847, dtype=torch.float64)
tensor(-97.6716, dtype=torch.float64)
tensor(-97.7328, dtype=torch.float64)
tensor(-97.9454, dtype=torch.float64)
tensor(-98.0039, dtype=torch.float64)
tensor(-98.1436, dtype=torch.float64)
tensor(-98.2840, dtype=torch.float64)
