tensor(-62.2062, dtype=torch.float64)
tensor(-62.2480, dtype=torch.float64)
tensor(-62.3614, dtype=torch.float64)
tensor(-62.4592, dtype=torch.float64)
tensor(-62.5176, dtype=torch.float64)
tensor(-62.5693, dtype=torch.float64)
tensor(-62.7537, dtype=torch.float64)
tensor(-62.7831, dtype=torch.float64)
tensor(-62.9564, dtype=torch.float64)
tensor(-63.0552, dtype=torch.float64)
tensor(-63.1147, dtype=torch.float64)
tensor(-63.2052, dtype=torch.float64)
tensor(-63.2761, dtype=torch.float64)
tensor(-63.2840, dtype=torch.float64)
tensor(-63.3911, dtype=torch.float64)
tensor(-63.4229, dtype=torch.float64)
tensor(-63.5782, dtype=torch.float64)
tensor(-63.6780, dtype=torch.float64)
tensor(-63.7221, dtype=torch.float64)
tensor(-63.7827, dtype=torch.float64)
tensor(-63.8538, dtype=torch.float64)
tensor(-63.9495, dtype=torch.float64)
tensor(-64.0327, dtype=torch.float64)
tensor(-64.0663, dtype=torch.float64)
tensor(-64.2148, dtype=torch.float64)
tensor(-64.2330, dtype=torch.float64)
tensor(-64.3455, dtype=torch.float64)
tensor(-64.3649, dtype=torch.float64)
tensor(-64.5636, dtype=torch.float64)
tensor(-64.6224, dtype=torch.float64)
tensor(-64.6931, dtype=torch.float64)
tensor(-64.7204, dtype=torch.float64)
tensor(-64.8044, dtype=torch.float64)
tensor(-64.8990, dtype=torch.float64)
tensor(-64.9481, dtype=torch.float64)
tensor(-64.9773, dtype=torch.float64)
tensor(-65.1383, dtype=torch.float64)
tensor(-65.2242, dtype=torch.float64)
tensor(-65.3543, dtype=torch.float64)
tensor(-65.5128, dtype=torch.float64)
tensor(-65.5540, dtype=torch.float64)
tensor(-65.6438, dtype=torch.float64)
tensor(-65.6648, dtype=torch.float64)
tensor(-65.7820, dtype=torch.float64)
tensor(-65.8299, dtype=torch.float64)
tensor(-65.9255, dtype=torch.float64)
tensor(-66.0464, dtype=torch.float64)
tensor(-66.1176, dtype=torch.float64)
tensor(-66.1858, dtype=torch.float64)
tensor(-66.2936, dtype=torch.float64)
tensor(-66.3953, dtype=torch.float64)
tensor(-66.4553, dtype=torch.float64)
tensor(-66.5500, dtype=torch.float64)
tensor(-66.6266, dtype=torch.float64)
tensor(-66.7125, dtype=torch.float64)
tensor(-66.7723, dtype=torch.float64)
tensor(-66.9425, dtype=torch.float64)
tensor(-67.0112, dtype=torch.float64)
tensor(-67.0885, dtype=torch.float64)
tensor(-67.1405, dtype=torch.float64)
tensor(-67.2419, dtype=torch.float64)
tensor(-67.3285, dtype=torch.float64)
tensor(-67.3807, dtype=torch.float64)
tensor(-67.4611, dtype=torch.float64)
tensor(-67.4895, dtype=torch.float64)
tensor(-67.6127, dtype=torch.float64)
tensor(-67.6764, dtype=torch.float64)
tensor(-67.7271, dtype=torch.float64)
tensor(-67.8097, dtype=torch.float64)
tensor(-67.8331, dtype=torch.float64)
tensor(-67.9471, dtype=torch.float64)
tensor(-68.0122, dtype=torch.float64)
tensor(-68.1087, dtype=torch.float64)
tensor(-68.1554, dtype=torch.float64)
tensor(-68.2280, dtype=torch.float64)
tensor(-68.3355, dtype=torch.float64)
tensor(-68.3661, dtype=torch.float64)
tensor(-68.4961, dtype=torch.float64)
tensor(-68.5798, dtype=torch.float64)
tensor(-68.6589, dtype=torch.float64)
tensor(-68.7033, dtype=torch.float64)
tensor(-68.8086, dtype=torch.float64)
tensor(-68.8307, dtype=torch.float64)
tensor(-68.9400, dtype=torch.float64)
tensor(-68.9967, dtype=torch.float64)
tensor(-69.1164, dtype=torch.float64)
tensor(-69.1323, dtype=torch.float64)
tensor(-69.2193, dtype=torch.float64)
tensor(-69.3371, dtype=torch.float64)
tensor(-69.3844, dtype=torch.float64)
tensor(-69.4750, dtype=torch.float64)
tensor(-69.4920, dtype=torch.float64)
tensor(-69.5824, dtype=torch.float64)
tensor(-69.7281, dtype=torch.float64)
tensor(-69.7552, dtype=torch.float64)
tensor(-69.8603, dtype=torch.float64)
tensor(-69.8937, dtype=torch.float64)
tensor(-70.0265, dtype=torch.float64)
tensor(-70.0613, dtype=torch.float64)
tensor(-70.1878, dtype=torch.float64)
tensor(-70.2286, dtype=torch.float64)
tensor(-70.3056, dtype=torch.float64)
tensor(-70.3992, dtype=torch.float64)
tensor(-70.5130, dtype=torch.float64)
tensor(-70.5784, dtype=torch.float64)
tensor(-70.6031, dtype=torch.float64)
tensor(-70.7280, dtype=torch.float64)
tensor(-70.7325, dtype=torch.float64)
tensor(-70.8903, dtype=torch.float64)
tensor(-70.9197, dtype=torch.float64)
tensor(-71.0245, dtype=torch.float64)
tensor(-71.0795, dtype=torch.float64)
tensor(-71.0948, dtype=torch.float64)
tensor(-71.2855, dtype=torch.float64)
tensor(-71.3415, dtype=torch.float64)
tensor(-71.4623, dtype=torch.float64)
tensor(-71.5551, dtype=torch.float64)
tensor(-71.6377, dtype=torch.float64)
tensor(-71.7035, dtype=torch.float64)
tensor(-71.7813, dtype=torch.float64)
tensor(-71.7921, dtype=torch.float64)
tensor(-71.9111, dtype=torch.float64)
tensor(-71.9819, dtype=torch.float64)
tensor(-72.0321, dtype=torch.float64)
tensor(-72.1106, dtype=torch.float64)
tensor(-72.1826, dtype=torch.float64)
tensor(-72.2347, dtype=torch.float64)
tensor(-72.3832, dtype=torch.float64)
tensor(-72.3929, dtype=torch.float64)
tensor(-72.5205, dtype=torch.float64)
tensor(-72.5967, dtype=torch.float64)
tensor(-72.6179, dtype=torch.float64)
tensor(-72.6367, dtype=torch.float64)
tensor(-72.8222, dtype=torch.float64)
tensor(-72.8547, dtype=torch.float64)
tensor(-72.9710, dtype=torch.float64)
tensor(-73.0388, dtype=torch.float64)
tensor(-73.0898, dtype=torch.float64)
tensor(-73.1845, dtype=torch.float64)
tensor(-73.2403, dtype=torch.float64)
tensor(-73.2924, dtype=torch.float64)
tensor(-73.4198, dtype=torch.float64)
tensor(-73.4611, dtype=torch.float64)
tensor(-73.5427, dtype=torch.float64)
tensor(-73.5894, dtype=torch.float64)
tensor(-73.6311, dtype=torch.float64)
tensor(-73.6711, dtype=torch.float64)
tensor(-73.7704, dtype=torch.float64)
tensor(-73.8431, dtype=torch.float64)
tensor(-73.8935, dtype=torch.float64)
tensor(-73.9091, dtype=torch.float64)
tensor(-74.0502, dtype=torch.float64)
tensor(-74.1947, dtype=torch.float64)
tensor(-74.2548, dtype=torch.float64)
tensor(-74.3435, dtype=torch.float64)
tensor(-74.3775, dtype=torch.float64)
tensor(-74.4827, dtype=torch.float64)
tensor(-74.6025, dtype=torch.float64)
tensor(-74.6137, dtype=torch.float64)
tensor(-74.6682, dtype=torch.float64)
tensor(-74.8354, dtype=torch.float64)
tensor(-74.8756, dtype=torch.float64)
tensor(-74.9869, dtype=torch.float64)
tensor(-75.0369, dtype=torch.float64)
tensor(-75.1144, dtype=torch.float64)
tensor(-75.2303, dtype=torch.float64)
tensor(-75.2989, dtype=torch.float64)
tensor(-75.3426, dtype=torch.float64)
tensor(-75.4089, dtype=torch.float64)
tensor(-75.5198, dtype=torch.float64)
tensor(-75.6340, dtype=torch.float64)
tensor(-75.6842, dtype=torch.float64)
tensor(-75.7531, dtype=torch.float64)
tensor(-75.8502, dtype=torch.float64)
tensor(-75.9351, dtype=torch.float64)
tensor(-76.0248, dtype=torch.float64)
tensor(-76.0570, dtype=torch.float64)
tensor(-76.1327, dtype=torch.float64)
tensor(-76.1654, dtype=torch.float64)
tensor(-76.2510, dtype=torch.float64)
tensor(-76.3252, dtype=torch.float64)
tensor(-76.3984, dtype=torch.float64)
tensor(-76.4850, dtype=torch.float64)
tensor(-76.5456, dtype=torch.float64)
tensor(-76.5913, dtype=torch.float64)
