tensor(-66.5805, dtype=torch.float64)
tensor(-66.6300, dtype=torch.float64)
tensor(-66.8425, dtype=torch.float64)
tensor(-66.9069, dtype=torch.float64)
tensor(-67.0308, dtype=torch.float64)
tensor(-67.1324, dtype=torch.float64)
tensor(-67.1886, dtype=torch.float64)
tensor(-67.2598, dtype=torch.float64)
tensor(-67.4768, dtype=torch.float64)
tensor(-67.5795, dtype=torch.float64)
tensor(-67.6721, dtype=torch.float64)
tensor(-67.7667, dtype=torch.float64)
tensor(-67.8292, dtype=torch.float64)
tensor(-68.0431, dtype=torch.float64)
tensor(-68.2246, dtype=torch.float64)
tensor(-68.3242, dtype=torch.float64)
tensor(-68.3995, dtype=torch.float64)
tensor(-68.6121, dtype=torch.float64)
tensor(-68.6132, dtype=torch.float64)
tensor(-68.8167, dtype=torch.float64)
tensor(-68.9821, dtype=torch.float64)
tensor(-69.1123, dtype=torch.float64)
tensor(-69.2119, dtype=torch.float64)
tensor(-69.3042, dtype=torch.float64)
tensor(-69.3998, dtype=torch.float64)
tensor(-69.4454, dtype=torch.float64)
tensor(-69.6276, dtype=torch.float64)
tensor(-69.7727, dtype=torch.float64)
tensor(-69.8203, dtype=torch.float64)
tensor(-70.0694, dtype=torch.float64)
tensor(-70.1630, dtype=torch.float64)
tensor(-70.2196, dtype=torch.float64)
tensor(-70.4530, dtype=torch.float64)
tensor(-70.5999, dtype=torch.float64)
tensor(-70.7062, dtype=torch.float64)
tensor(-70.8525, dtype=torch.float64)
tensor(-70.9603, dtype=torch.float64)
tensor(-71.0566, dtype=torch.float64)
tensor(-71.2006, dtype=torch.float64)
tensor(-71.2431, dtype=torch.float64)
tensor(-71.4274, dtype=torch.float64)
tensor(-71.4869, dtype=torch.float64)
tensor(-71.6382, dtype=torch.float64)
tensor(-71.7663, dtype=torch.float64)
tensor(-71.8380, dtype=torch.float64)
tensor(-72.0302, dtype=torch.float64)
tensor(-72.1640, dtype=torch.float64)
tensor(-72.2880, dtype=torch.float64)
tensor(-72.4097, dtype=torch.float64)
tensor(-72.4554, dtype=torch.float64)
tensor(-72.5647, dtype=torch.float64)
tensor(-72.6307, dtype=torch.float64)
tensor(-72.7446, dtype=torch.float64)
tensor(-72.7743, dtype=torch.float64)
tensor(-72.8992, dtype=torch.float64)
tensor(-72.9923, dtype=torch.float64)
tensor(-73.0249, dtype=torch.float64)
tensor(-73.2190, dtype=torch.float64)
tensor(-73.3908, dtype=torch.float64)
tensor(-73.4914, dtype=torch.float64)
tensor(-73.5867, dtype=torch.float64)
tensor(-73.6631, dtype=torch.float64)
tensor(-73.7432, dtype=torch.float64)
tensor(-73.8772, dtype=torch.float64)
tensor(-73.9523, dtype=torch.float64)
tensor(-74.1002, dtype=torch.float64)
tensor(-74.1840, dtype=torch.float64)
tensor(-74.1891, dtype=torch.float64)
tensor(-74.3878, dtype=torch.float64)
tensor(-74.4425, dtype=torch.float64)
tensor(-74.6266, dtype=torch.float64)
tensor(-74.7359, dtype=torch.float64)
tensor(-74.8628, dtype=torch.float64)
tensor(-74.9358, dtype=torch.float64)
tensor(-75.0381, dtype=torch.float64)
tensor(-75.1637, dtype=torch.float64)
tensor(-75.2869, dtype=torch.float64)
tensor(-75.4127, dtype=torch.float64)
tensor(-75.4898, dtype=torch.float64)
tensor(-75.5935, dtype=torch.float64)
tensor(-75.7608, dtype=torch.float64)
tensor(-75.8025, dtype=torch.float64)
tensor(-75.8094, dtype=torch.float64)
tensor(-76.0469, dtype=torch.float64)
tensor(-76.1145, dtype=torch.float64)
tensor(-76.3237, dtype=torch.float64)
tensor(-76.3615, dtype=torch.float64)
tensor(-76.4812, dtype=torch.float64)
tensor(-76.7428, dtype=torch.float64)
tensor(-76.7802, dtype=torch.float64)
tensor(-77.0161, dtype=torch.float64)
tensor(-77.0820, dtype=torch.float64)
tensor(-77.1679, dtype=torch.float64)
tensor(-77.3138, dtype=torch.float64)
tensor(-77.4066, dtype=torch.float64)
tensor(-77.4229, dtype=torch.float64)
tensor(-77.6648, dtype=torch.float64)
tensor(-77.7533, dtype=torch.float64)
tensor(-77.8160, dtype=torch.float64)
tensor(-77.8914, dtype=torch.float64)
tensor(-78.0218, dtype=torch.float64)
